epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9026591777801514,0.0010000000474974513,0.343485563993454,0.8883826732635498,0.38385888934135437
1,0.9363259077072144,0.0010000000474974513,0.23341743648052216,0.9510250687599182,0.20314010977745056
2,0.935837984085083,0.0010000000474974513,0.22507108747959137,0.9339407682418823,0.26152223348617554
3,0.9465723633766174,0.0010000000474974513,0.19774356484413147,0.9054669737815857,0.3574964702129364
4,0.9521834850311279,0.0010000000474974513,0.18611697852611542,0.9066058993339539,0.31899043917655945
5,0.9497438669204712,0.0010000000474974513,0.19026559591293335,0.9214122891426086,0.29776525497436523
6,0.9458404779434204,0.0010000000474974513,0.19595198333263397,0.9134396314620972,0.296258807182312
7,0.9507197141647339,0.0005000000237487257,0.17631922662258148,0.9259681105613708,0.2586744725704193
8,0.9519395232200623,0.0005000000237487257,0.18154001235961914,0.9134396314620972,0.28889721632003784
9,0.9592583775520325,0.0005000000237487257,0.16159792244434357,0.9225512742996216,0.27271804213523865
10,0.9560868740081787,0.0005000000237487257,0.16762833297252655,0.9179954528808594,0.2618752419948578
11,0.9595023393630981,0.0005000000237487257,0.15987125039100647,0.9100227952003479,0.2864191234111786
12,0.9580385684967041,0.0002500000118743628,0.16134198009967804,0.9259681105613708,0.25266918540000916
13,0.9595023393630981,0.0002500000118743628,0.16437645256519318,0.928246021270752,0.2504059374332428
14,0.9621859192848206,0.0002500000118743628,0.14900928735733032,0.9248291850090027,0.25859031081199646
15,0.9592583775520325,0.0002500000118743628,0.15646709501743317,0.9305239319801331,0.244608074426651
16,0.9604781866073608,0.0002500000118743628,0.14710485935211182,0.9214122891426086,0.26039940118789673
17,0.9643815755844116,0.0001250000059371814,0.1506543904542923,0.9214122891426086,0.26884132623672485
18,0.9607221484184265,0.0001250000059371814,0.15113019943237305,0.9225512742996216,0.27069076895713806
19,0.9609661102294922,0.0001250000059371814,0.14963462948799133,0.9248291850090027,0.2566983699798584
20,0.9646255373954773,0.0001250000059371814,0.14408476650714874,0.9259681105613708,0.2601868212223053
21,0.964137613773346,0.0001250000059371814,0.14387623965740204,0.9225512742996216,0.26413217186927795
22,0.9587704539299011,6.25000029685907e-05,0.15069442987442017,0.9111617207527161,0.27878832817077637
23,0.9609661102294922,6.25000029685907e-05,0.14618445932865143,0.9202733635902405,0.26309099793434143
24,0.9597463011741638,6.25000029685907e-05,0.15327486395835876,0.9248291850090027,0.2616738975048065
25,0.9690168499946594,6.25000029685907e-05,0.13602492213249207,0.9202733635902405,0.2616312801837921
26,0.9638936519622803,6.25000029685907e-05,0.1398061215877533,0.9259681105613708,0.25614550709724426
27,0.9658453464508057,3.125000148429535e-05,0.1317114382982254,0.928246021270752,0.24939276278018951
28,0.9668211936950684,3.125000148429535e-05,0.13988348841667175,0.927107036113739,0.2578061819076538
29,0.9651134610176086,3.125000148429535e-05,0.14267881214618683,0.9214122891426086,0.2657089829444885
30,0.9668211936950684,3.125000148429535e-05,0.1414245218038559,0.927107036113739,0.25359100103378296
31,0.9685289263725281,3.125000148429535e-05,0.13585202395915985,0.928246021270752,0.24436019361019135
32,0.964137613773346,1.5625000742147677e-05,0.13697080314159393,0.9214122891426086,0.2571066915988922
33,0.9643815755844116,1.5625000742147677e-05,0.14034293591976166,0.927107036113739,0.2497040331363678
34,0.966333270072937,1.5625000742147677e-05,0.13784727454185486,0.9214122891426086,0.26325535774230957
35,0.9634057283401489,1.5625000742147677e-05,0.1411818563938141,0.9191343784332275,0.2626230716705322
36,0.9631617665290833,1.5625000742147677e-05,0.14087361097335815,0.9259681105613708,0.25323450565338135
37,0.9646255373954773,7.812500371073838e-06,0.1406278759241104,0.9225512742996216,0.25911152362823486
38,0.9643815755844116,7.812500371073838e-06,0.1398177444934845,0.9225512742996216,0.25718432664871216
39,0.9687728881835938,7.812500371073838e-06,0.13457156717777252,0.9214122891426086,0.26062875986099243
40,0.9634057283401489,7.812500371073838e-06,0.14680646359920502,0.9214122891426086,0.2604050934314728
41,0.9665772318840027,7.812500371073838e-06,0.13484472036361694,0.9225512742996216,0.2576925456523895
42,0.9651134610176086,3.906250185536919e-06,0.13854478299617767,0.9259681105613708,0.25315263867378235
43,0.9614540338516235,3.906250185536919e-06,0.13749082386493683,0.9202733635902405,0.26203063130378723
44,0.9634057283401489,3.906250185536919e-06,0.139278382062912,0.9225512742996216,0.2597454786300659
45,0.9651134610176086,3.906250185536919e-06,0.14156842231750488,0.9191343784332275,0.26515305042266846
46,0.9629178047180176,3.906250185536919e-06,0.13566212356090546,0.9236901998519897,0.2571427524089813
47,0.9643815755844116,1.9531250927684596e-06,0.13949516415596008,0.928246021270752,0.24795030057430267
48,0.9592583775520325,1.9531250927684596e-06,0.15023396909236908,0.9259681105613708,0.2517014443874359
49,0.966333270072937,1.9531250927684596e-06,0.13744673132896423,0.928246021270752,0.25017982721328735
