epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6965113282203674,9.999999747378752e-05,0.6595630645751953,0.7300683259963989,0.5779625177383423
1,0.714808464050293,9.999999747378752e-05,0.5953595042228699,0.7300683259963989,0.5713647603988647
2,0.7260307669639587,9.999999747378752e-05,0.5827077627182007,0.7300683259963989,0.5612437129020691
3,0.767748236656189,9.999999747378752e-05,0.5069222450256348,0.8781321048736572,0.3352743089199066
4,0.8365455269813538,9.999999747378752e-05,0.3878801167011261,0.8621867895126343,0.3627657890319824
5,0.8589900135993958,9.999999747378752e-05,0.35981783270835876,0.9009111523628235,0.3137967884540558
6,0.8653330206871033,9.999999747378752e-05,0.342605322599411,0.8986332416534424,0.30879491567611694
7,0.8841180801391602,9.999999747378752e-05,0.32124292850494385,0.8633257150650024,0.3307064473628998
8,0.8777750730514526,9.999999747378752e-05,0.3348700702190399,0.9009111523628235,0.2814558446407318
9,0.8955842852592468,9.999999747378752e-05,0.29434633255004883,0.9134396314620972,0.2596310079097748
10,0.8958282470703125,9.999999747378752e-05,0.28978410363197327,0.912300705909729,0.2544552683830261
11,0.9055867195129395,9.999999747378752e-05,0.27533236145973206,0.9100227952003479,0.25087761878967285
12,0.9026591777801514,9.999999747378752e-05,0.28445693850517273,0.9236901998519897,0.25079381465911865
13,0.9053427577018738,9.999999747378752e-05,0.26977384090423584,0.9111617207527161,0.28479906916618347
14,0.8985118269920349,9.999999747378752e-05,0.2846923768520355,0.9202733635902405,0.2344462126493454
15,0.9085142612457275,9.999999747378752e-05,0.262650728225708,0.9031890630722046,0.2676694989204407
16,0.9099780321121216,9.999999747378752e-05,0.2649882435798645,0.9179954528808594,0.24638843536376953
17,0.911929726600647,9.999999747378752e-05,0.2586349844932556,0.9248291850090027,0.2308332473039627
18,0.9075384140014648,9.999999747378752e-05,0.2627968192100525,0.9168564677238464,0.21761514246463776
19,0.9168089628219604,9.999999747378752e-05,0.25060418248176575,0.9316628575325012,0.22045639157295227
20,0.9160770773887634,9.999999747378752e-05,0.24390970170497894,0.9248291850090027,0.21915091574192047
21,0.9187606573104858,9.999999747378752e-05,0.2471216768026352,0.9293849468231201,0.2330871820449829
22,0.9092461466789246,9.999999747378752e-05,0.2655025124549866,0.9248291850090027,0.22316209971904755
23,0.9165650010108948,9.999999747378752e-05,0.24890975654125214,0.908883810043335,0.2589828073978424
24,0.9226640462875366,4.999999873689376e-05,0.2243921309709549,0.9328018426895142,0.21783527731895447
25,0.9241278171539307,4.999999873689376e-05,0.2345772534608841,0.9305239319801331,0.22293338179588318
26,0.9243717789649963,4.999999873689376e-05,0.22064079344272614,0.9316628575325012,0.21211200952529907
27,0.9287630915641785,4.999999873689376e-05,0.213556170463562,0.9339407682418823,0.20644806325435638
28,0.9312027096748352,4.999999873689376e-05,0.21452730894088745,0.9259681105613708,0.21110229194164276
29,0.9319345951080322,4.999999873689376e-05,0.20848362147808075,0.9339407682418823,0.19394788146018982
30,0.9360819458961487,4.999999873689376e-05,0.19980859756469727,0.9305239319801331,0.2118324637413025
31,0.9321785569190979,4.999999873689376e-05,0.211906298995018,0.9441913366317749,0.19332082569599152
32,0.9329104423522949,4.999999873689376e-05,0.2129315882921219,0.912300705909729,0.2757240831851959
33,0.9329104423522949,4.999999873689376e-05,0.2081713080406189,0.9476081728935242,0.1917961984872818
34,0.9353500604629517,4.999999873689376e-05,0.20709386467933655,0.9373576045036316,0.1969223916530609
35,0.9338862895965576,4.999999873689376e-05,0.20024487376213074,0.9430524110794067,0.19999034702777863
36,0.9407172203063965,4.999999873689376e-05,0.19797000288963318,0.9316628575325012,0.2177259773015976
37,0.9324225187301636,4.999999873689376e-05,0.2118253856897354,0.9384965896606445,0.19564662873744965
38,0.9307147860527039,4.999999873689376e-05,0.20548361539840698,0.9248291850090027,0.22031381726264954
39,0.9392534494400024,2.499999936844688e-05,0.19212204217910767,0.946469247341156,0.17589682340621948
40,0.944620668888092,2.499999936844688e-05,0.18850253522396088,0.9453303217887878,0.18216650187969208
41,0.9397413730621338,2.499999936844688e-05,0.19171610474586487,0.9419134259223938,0.18640363216400146
42,0.9458404779434204,2.499999936844688e-05,0.18202464282512665,0.9396355152130127,0.19477291405200958
43,0.9363259077072144,2.499999936844688e-05,0.19541673362255096,0.9441913366317749,0.17473411560058594
44,0.9390094876289368,2.499999936844688e-05,0.18668945133686066,0.9339407682418823,0.20276471972465515
45,0.9402292966842651,2.499999936844688e-05,0.18777507543563843,0.946469247341156,0.18601520359516144
46,0.9387655258178711,2.499999936844688e-05,0.19057263433933258,0.9476081728935242,0.17971768975257874
47,0.9392534494400024,2.499999936844688e-05,0.19121979176998138,0.946469247341156,0.17074555158615112
48,0.9402292966842651,2.499999936844688e-05,0.18379874527454376,0.9476081728935242,0.17721286416053772
49,0.9416930675506592,2.499999936844688e-05,0.1863141506910324,0.9476081728935242,0.17627917230129242
